step,mse_scaled,mae_scaled,mse_unscaled,mae_unscaled
1,0.011405883356928825,0.06965998560190201,95039.02552325482,201.08044233235884
2,0.021695060655474663,0.10270745307207108,180773.15792784237,296.47528438495135
3,0.030315062031149864,0.12347440421581268,252599.28859867004,356.4209909404861
4,0.03742999583482742,0.13765379786491394,311884.19670348073,397.35299286443086
5,0.04336217790842056,0.14779804646968842,361313.5063168309,426.63370718579347
6,0.04884348437190056,0.1563698649406433,406987.19448299566,451.37710856445193
7,0.05428839102387428,0.1647866666316986,452356.4596885938,475.6734756789043
8,0.059302087873220444,0.1724308878183365,494133.4936449353,497.7394728793479
9,0.06302749365568161,0.1777142435312271,525174.9514674542,512.9910733728071
10,0.06540554761886597,0.18045203387737274,544990.9114915872,520.8939589912443
11,0.06764115393161774,0.1830287128686905,563616.3555413996,528.3316371069697
12,0.07025603204965591,0.18646715581417084,585406.0017268055,538.2549785622724
13,0.07276678085327148,0.1899162381887436,606327.3901295573,548.213083808327
14,0.0750364437699318,0.19313104450702667,625239.0635164573,557.4922413094196
15,0.07708524912595749,0.19614146649837494,642309.7060441764,566.1846981620271
16,0.07917001098394394,0.19927191734313965,659681.305683929,575.2172362655061
17,0.08110383152961731,0.20200695097446442,675793.2101015993,583.111933580514
18,0.08251270651817322,0.20382991433143616,687535.510729076,588.3755569167969
19,0.0841837003827095,0.20622962713241577,701459.2170104954,595.2992588851959
20,0.08620685338973999,0.20910325646400452,718315.5362385641,603.5991517856484
21,0.08790986984968185,0.21165987849235535,732508.8298786388,610.974631005824
22,0.08875769376754761,0.2128283530473709,739570.8685828369,614.3507709378486
23,0.08907633274793625,0.21295036375522614,742224.6946232958,614.7037090942715
24,0.0909922644495964,0.2151431441307068,758191.0258602592,621.0306172821398
25,0.09827765077352524,0.22525817155838013,818896.1955882733,650.2296085348032
26,0.10720185935497284,0.23641759157180786,893255.3632594703,682.4439026794187
27,0.11401072889566422,0.24358052015304565,949993.3724370457,703.1199875579763
28,0.11961307376623154,0.24878056347370148,996672.0646882195,718.1293811132591
29,0.12404081970453262,0.25283533334732056,1033563.9816117366,729.8338523783513
30,0.12829580903053284,0.2570897936820984,1069022.8107814665,742.113443421732
31,0.13278649747371674,0.26173242926597595,1106445.4127870186,755.5182803280529
32,0.13665258884429932,0.2660345733165741,1138660.7640786793,767.9339324544482
33,0.1391548365354538,0.2685258686542511,1159502.9605939086,775.1283744791732
34,0.14034762978553772,0.26946821808815,1169438.1766238916,777.8452972204664
35,0.1415107250213623,0.27055007219314575,1179133.8716717162,780.9686751412034
36,0.14328674972057343,0.27282047271728516,1193930.3002245114,787.5219357318532
37,0.1451350301504135,0.2752054035663605,1209335.9786767375,794.4099586869102
38,0.14625827968120575,0.2766517996788025,1218694.211883904,798.5835552744277
39,0.14690573513507843,0.27776268124580383,1224081.9752860002,801.7903944918803
40,0.148359477519989,0.27964046597480774,1236199.9634388152,807.2117819596502
41,0.1498948037624359,0.28162261843681335,1248995.655570136,812.9319240257507
42,0.15024122595787048,0.2819814383983612,1251877.437743345,813.9688145420189
43,0.15063491463661194,0.282411128282547,1255167.698333224,815.2065314177866
44,0.1519268900156021,0.2840372323989868,1265928.046327197,819.9016244699285
45,0.15316259860992432,0.2853746712207794,1276221.0751914333,823.7621830913903
46,0.1534191519021988,0.28564244508743286,1278362.8269701477,824.5340913905187
47,0.15310688316822052,0.2851635217666626,1275758.7707518744,823.1528037363403
48,0.1543012112379074,0.2861328721046448,1285711.0988530286,825.9527643524175
49,0.1581449657678604,0.28979843854904175,1317735.1324255501,836.5309660077855
50,0.1617809534072876,0.29329922795295715,1348033.2998636079,846.6390440289375
51,0.16429439187049866,0.29511380195617676,1368978.6922953357,851.8725772154302
52,0.16653819382190704,0.2964603006839752,1387674.2797166074,855.7628283702767
53,0.16789814829826355,0.29682841897010803,1399006.3613911266,856.8260373087506
54,0.16950906813144684,0.2977895438671112,1412419.48782494,859.5990765755246
55,0.1716729998588562,0.2996155023574829,1430464.0286338257,864.8682139476434
56,0.173465296626091,0.30104878544807434,1445395.3448053275,869.0079823555122
57,0.17446836829185486,0.3016755282878876,1453754.2196035346,870.8186865450899
