step,mse_scaled,mae_scaled,mse_unscaled,mae_unscaled
1,0.010790162719786167,0.06712090224027634,89908.57527889642,193.750767245656
2,0.020299524068832397,0.09873313456773758,169145.15025145703,285.00232715001005
3,0.028707915917038918,0.119078129529953,239209.05588694804,343.7304901362674
4,0.03633713349699974,0.13386565446853638,302778.3623156491,386.41644450657
5,0.04289543256163597,0.14500382542610168,357425.27014382806,418.5683624040153
6,0.048971761018037796,0.15542364120483398,408055.044999102,448.64705211725965
7,0.055170364677906036,0.1652078926563263,459706.56918038934,476.88905496023165
8,0.05990136042237282,0.1722153127193451,499125.9483324568,497.1160758406431
9,0.06269709020853043,0.1756213754415512,522421.4100994672,506.9489531540919
10,0.0648052915930748,0.17753109335899353,539989.6843450059,512.4617374106223
11,0.06748127937316895,0.18075458705425262,562286.3230525764,521.7655063053469
12,0.07055960595607758,0.18515917658805847,587935.2549456402,534.4813191477401
13,0.07322093099355698,0.18902592360973358,610110.6403876684,545.6425833734994
14,0.07535766810178757,0.19172580540180206,627915.5492943502,553.4344888826218
15,0.07697685807943344,0.1937354952096939,641409.6717195525,559.2367373068034
16,0.07842200994491577,0.19590474665164948,653450.1594403364,565.4991446590143
17,0.08007858693599701,0.19858331978321075,667254.2745224587,573.2304201573965
18,0.08177987486124039,0.20131023228168488,681427.3820721486,581.1025893666879
19,0.08337130397558212,0.2037193924188614,694688.7610480336,588.0561244439547
20,0.08481505513191223,0.20581643283367157,706719.7061157733,594.1094495321832
21,0.08592488616704941,0.2071153074502945,715966.87697859,597.8586109039145
22,0.08650045096874237,0.20739158987998962,720765.2485014754,598.655268286861
23,0.08709616959095001,0.2076706737279892,725728.5130155708,599.4612899844946
24,0.08946893364191055,0.21059466898441315,745495.8902117782,607.9036409644827
25,0.09641799330711365,0.22009605169296265,803399.0971397358,635.3307095159519
26,0.10401196032762527,0.2295263707637787,866673.0200848918,662.5511179142549
27,0.11063351482152939,0.23643063008785248,921851.4849407144,682.4799984943211
28,0.11725395172834396,0.2431716024875641,977015.4234805013,701.9382335309389
29,0.12237341701984406,0.24786752462387085,1019675.0841570898,715.4954505464639
30,0.12693308293819427,0.2521091103553772,1057664.74197756,727.7384114889858
31,0.13216345012187958,0.25751593708992004,1101248.8497262988,743.3437305896975
32,0.1359259933233261,0.2612701654434204,1132596.8956335618,754.1841242437167
33,0.13759271800518036,0.2624371647834778,1146489.7968722938,757.549331654431
34,0.13856248557567596,0.2626982033252716,1154564.1681722167,758.3070174723068
35,0.14002378284931183,0.2637189030647278,1166746.5353169732,761.2521044584253
36,0.14209485054016113,0.26611655950546265,1183998.2058502464,768.1722257712697
37,0.143993079662323,0.26862362027168274,1199818.7466238088,775.4104990167331
38,0.14522437751293182,0.2701658308506012,1210078.912412751,779.859304775183
39,0.1454821527004242,0.27075451612472534,1212228.9373817502,781.560328711969
40,0.14576356112957,0.2716059684753418,1214566.9269504922,784.0178945308221
41,0.14667898416519165,0.27329304814338684,1222198.161998148,788.8891271770034
42,0.1473173052072525,0.274382621049881,1227517.5440722576,792.0306790358261
43,0.14771969616413116,0.2747478783130646,1230870.8666849935,793.088016416919
44,0.14841601252555847,0.2752941846847534,1236669.272417073,794.6659965114342
45,0.1489686220884323,0.2756105363368988,1241274.4534739845,795.5788691437107
46,0.14899039268493652,0.2752363979816437,1241452.6188919994,794.4994340528089
47,0.1486893892288208,0.27447909116744995,1238948.6616103773,792.3129523548026
48,0.15006200969219208,0.2757376432418823,1250390.8458209278,795.9431080568567
49,0.15433980524539948,0.28026312589645386,1286034.027609294,809.0084357058639
50,0.15774312615394592,0.2834596037864685,1314390.6595837746,818.2331479208907
51,0.15999986231327057,0.2853747010231018,1333193.0114812716,823.7628152964608
52,0.1628178060054779,0.2878057062625885,1356670.6052032504,830.7789291934367
53,0.1644556224346161,0.28825756907463074,1370319.8981029675,832.0824297365991
54,0.16585922241210938,0.28848886489868164,1382015.202004175,832.7573027017937
55,0.1687013953924179,0.29133567214012146,1405704.5820280646,840.9681303271095
56,0.1708894968032837,0.29329636693000793,1423937.025238236,846.6275213462725
