step,mse_scaled,mae_scaled,mse_unscaled,mae_unscaled
1,0.011074750684201717,0.06832677125930786,92279.89812426275,197.2319320875602
2,0.02102789469063282,0.1010250374674797,175213.9830728051,291.61838765580694
3,0.02915431186556816,0.12040933221578598,242927.46577079626,347.5732522749238
4,0.03624708577990532,0.13411404192447662,302027.5246553501,387.1326048612146
5,0.042837806046009064,0.14533936977386475,356945.62805016234,419.53484342649034
6,0.04910779371857643,0.1556396186351776,409187.6712054058,449.2696091464631
7,0.05533464252948761,0.16544269025325775,461074.6590031275,477.5657149106099
8,0.060314297676086426,0.17268683016300201,502567.0051644484,498.4782526867966
9,0.06336186081171036,0.1766522079706192,527959.7015811583,509.9243280816007
10,0.06512562930583954,0.17823167145252228,542658.483635942,514.4844336466325
11,0.06680413335561752,0.17961835861206055,556643.596397926,518.4867518606884
12,0.06921891868114471,0.1828327178955078,576764.5483419109,527.7652213436735
13,0.07195671647787094,0.1870448738336563,599577.430652274,539.92364198153
14,0.07431717216968536,0.1906067132949829,619247.2713084512,550.2061351450114
15,0.07612020522356033,0.19306083023548126,634270.3372434999,557.2897836966752
16,0.07738851010799408,0.1944883018732071,644838.6180101447,561.410665011014
17,0.07843412458896637,0.19547368586063385,653550.4997360352,564.2551747294432
18,0.0797642394900322,0.1970590353012085,664635.0952947806,568.8281969507607
19,0.08150764554738998,0.19936113059520721,679157.6307187844,575.4762202894827
20,0.08324547857046127,0.20194435119628906,693642.471749815,582.9314393306142
21,0.08482619374990463,0.20448604226112366,706810.7543984955,590.2696555827735
22,0.08581870794296265,0.20566128194332123,715082.4560031544,593.6620140572218
23,0.08625493943691254,0.20561480522155762,718715.4101442278,593.5281161432131
24,0.08840082585811615,0.20820410549640656,736597.9410239389,601.00141918408
25,0.09579132497310638,0.21878810226917267,798181.4150316917,631.5538442348844
26,0.10412301123142242,0.22941666841506958,867602.8371360201,662.2352314707873
27,0.10992984473705292,0.23493719100952148,915984.5273498239,678.1672711009106
28,0.11495740711688995,0.23924867808818817,957880.7045710239,690.6156872540968
29,0.12013918161392212,0.2441755086183548,1001054.6551079319,704.8378664653769
30,0.12523195147514343,0.2492251843214035,1043489.7068509163,719.4147412772184
31,0.12993907928466797,0.25395137071609497,1082715.7177721758,733.0548204404537
32,0.13355882465839386,0.2576546370983124,1112874.6093316462,743.7454117086903
33,0.13598065078258514,0.2597805857658386,1133058.7365051885,749.8819912911295
34,0.1374875158071518,0.26089832186698914,1145610.067502616,753.1076494287773
35,0.13848525285720825,0.26162585616111755,1153922.6469684457,755.2098990974023
36,0.13957816362380981,0.2632034122943878,1163030.2062153032,759.7620234444356
37,0.1408749371767044,0.2653258442878723,1173839.123496831,765.8903433179763
38,0.14187920093536377,0.2668102979660034,1182205.0342097664,770.1750266013764
39,0.1427662968635559,0.26798826456069946,1189598.5706200488,773.5789737037134
40,0.14345760643482208,0.26872244477272034,1195355.2550580162,775.693880701553
41,0.14376477897167206,0.26870405673980713,1197914.55930793,775.642774191597
42,0.14434362947940826,0.2689046263694763,1202737.8974594423,776.2197479655631
43,0.14599302411079407,0.27075716853141785,1216483.4796231475,781.5680129512301
44,0.14757496118545532,0.2728363573551178,1229669.429899716,787.571062165
45,0.14855436980724335,0.27415287494659424,1237822.9774238565,791.3683896136824
46,0.14892897009849548,0.27437064051628113,1240946.1815423383,791.9989461048664
47,0.1488543450832367,0.2740115821361542,1240322.8529021612,790.9601746766613
48,0.15014152228832245,0.2751985490322113,1251048.5413137737,794.3876103355391
49,0.15420208871364594,0.27951279282569885,1284883.1198514572,806.8441351809427
50,0.15771923959255219,0.28270024061203003,1314191.9978833795,816.0391349951857
51,0.1593160182237625,0.28301775455474854,1327498.9264357272,816.9567268868673
52,0.16107654571533203,0.2837727665901184,1342169.8331575966,819.1407060551146
53,0.163475900888443,0.2852078080177307,1362160.5941525095,823.2807042414812
54,0.1658363938331604,0.2867266833782196,1381822.9445792157,827.664827265861
55,0.1682935506105423,0.28888577222824097,1402298.8333635472,833.8961697010857
56,0.169968843460083,0.2901131212711334,1416263.3487692843,837.4424458919723
57,0.17051182687282562,0.29017144441604614,1420785.8575881894,837.6076131746613
58,0.17014345526695251,0.2891564965248108,1417712.322036323,834.6791285916034
59,0.1694430112838745,0.2878605127334595,1411877.798764496,830.9368667878974
60,0.16955073177814484,0.2879987061023712,1412779.762012586,831.3376429132445
61,0.1705506443977356,0.2895693778991699,1421106.2036953089,835.8698981248016
62,0.1712580770254135,0.2905246913433075,1427004.197063498,838.6270243714313
63,0.1713232696056366,0.2904323935508728,1427545.5159365532,838.3609561030432
64,0.17102807760238647,0.28965890407562256,1425087.7731557097,836.1316456052255
65,0.1706801950931549,0.2885482609272003,1422194.2461245067,832.9211790319254
66,0.1707761585712433,0.28800341486930847,1422984.0771906062,831.3514635119179
67,0.1722792536020279,0.28965017199516296,1435510.933325035,836.1065686445125
68,0.1740717738866806,0.29182055592536926,1450450.2067865029,842.3675232617097
69,0.17479351162910461,0.2927834093570709,1456454.7295639187,845.1452754160529
70,0.174574613571167,0.2922818958759308,1454639.5385652215,843.7035403727613
71,0.1737920194864273,0.29065510630607605,1448116.8624635742,839.0034769746718
