Parameter,Vary,is_base,GCN,Hidden_Dim,Kernel_Size,Dilation,Test_MAE,Test_MSE,Test_R2,Total_Time_S,Time_To_Best_S,Best_Epoch,Total_Epoch,gpu_mem_training_mb,gpu_mem_inference_mb,peak_gpu_mem_mb,avg_epoch_time_s,best_val_loss,,
GCN_Layer,1,False,1,64,7,3,0.3024,0.1755,0.8083,305.2048030000000,199.75634099999999,18,28,52.72802700000,33.88037100000,52.72802700000,10.913366999999999,0.19587700000000000,,
,2,False,2,64,7,3,0.2861,0.1682,0.8163,585.8787430000000,472.10249299999998,41,51,52.79248000000,33.91259800000,52.79248000000,11.494958000000000,0.18660399999999999,,
,3,False,3,64,7,3,0.2867,0.1712,0.8130,518.5203990000000,398.0048390000000,33,43,52.85693400000,33.94482400000,52.85693400000,12.055877000000001,0.19638000000000000,,
,7,False,7,64,7,3,0.2888,0.1685,0.8160,562.7521840000001,422.46540499999998,30,40,53.11474600000,34.07373000000,53.11474600000,14.065485000000001,0.19061400000000001,,
Kernel_Size,3,False,5,64,3,3,0.2894,0.1724,0.8116,518.7114230000000,399.19785600000000,33,43,52.91162100000,33.87841800000,52.91162100000,12.071403000000000,0.19532500000000000,,
,5,False,5,64,5,3,0.2859,0.1713,0.8129,530.1240180000000,408.66293100000001,33,43,52.94873000000,33.94384800000,52.94873000000,12.343308000000000,0.19757900000000000,,
,11,False,5,64,11,3,0.2873,0.1710,0.8132,627.4309300000000,502.06551800000000,41,51,53.06005900000,34.14013700000,53.06005900000,12.283972000000000,0.19640400000000000,,
Hidden_Dim,32,False,5,32,7,3,0.2965,0.1739,0.8101,462.0945960000000,341.8017030000000,28,38,35.95459000000,25.94091800000,35.95459000000,12.161572000000000,0.1962080000000000,,
,128,False,5,128,7,3,0.2893,0.1686,0.8158,579.9604210000000,448.02615500000002,35,45,93.60498000000,51.50244100000,93.60498000000,12.88203100000000,0.18969900000000001,,
,256,False,5,256,7,3,0.2891,0.1686,0.8159,825.8728070000000,673.2893060000000,45,55,171.46044900000,86.56298800000,171.46044900000,15.003466000000000,0.1874220000000000,,
Dilation,1,False,5,64,7,1,0.2863,0.1692,0.8151,563.0231940000000,441.34838100000002,35,45,52.98584000000,33.91552700000,52.98584000000,12.531363000000001,0.1921510000000000,,
,2,False,5,64,7,2,0.2875,0.1687,0.8157,486.6512990000000,363.3847760000000,30,40,52.98584000000,33.96240200000,52.98584000000,12.167812000000000,0.19182199999999999,,
,5,False,5,64,7,5,0.2848,0.1681,0.8164,646.360548000000,526.0646770000000,43,53,52.98584000000,34.10302700000,52.98584000000,12.194443000000000,0.1900110000000000,,
Baseline,,True,5,64,7,3,0.2907,0.1683,0.8161,1058.4693660000000,943.3374060000000,72,82,52.98584000000,34.00927700000,52.98584000000,12.916074999999999,0.18506400000000001,,
,,,,,,,,,,,,,,,,,,,,


,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
