Parameter,Vary,is_base,GCN,Hidden_Dim,Kernel_Size,Dilation,Test_MAE,Test_MSE,Test_R2,Total_Time_S,Time_To_Best_S,Best_Epoch,Total_Epoch,gpu_mem_training_mb,gpu_mem_inference_mb,peak_gpu_mem_mb,avg_epoch_time_s,best_val_loss
GCN_Layer,1,False,1,64,7,3,0.3493,0.2138,0.7535,312.7494530000000,250.40601799999999,33,43,65.10986300000,40.46533200000,65.10986300000,7.288765000000000,0.19428100000000001
,2,False,2,64,7,3,0.2915,0.1623,0.8129,475.3499980000000,406.9399560000000,52,62,65.17431600000,40.49755900000,65.17431600000,7.685931000000000,0.18617000000000000
,3,False,3,64,7,3,0.3545,0.2190,0.7475,344.7422400000000,273.1315000000000,32,42,65.23877000000,40.52978500000,65.23877000000,8.232896000000000,0.19304499999999999
,7,False,7,64,7,3,0.2987,0.1698,0.8042,737.4896040000000,647.3109110000000,64,74,65.49658200000,40.65869100000,65.49658200000,9.972455000000000,0.18460699999999999
Dilation,1,False,5,64,7,1,0.3671,0.2228,0.7432,558.4766590000000,475.8616020000000,49,59,65.36767600000,40.50048800000,65.36767600000,9.482960000000000,0.19660900000000001
,2,False,5,64,7,2,0.2809,0.1559,0.8202,900.3229270000000,817.3392219999999,88,98,65.36767600000,40.54736300000,65.36767600000,9.192563000000000,0.18344700000000000
,5,False,5,64,7,5,0.3278,0.1915,0.7792,424.41799500000002,343.9986890000000,39,49,65.36767600000,40.68798800000,65.36767600000,8.6765520000000,0.2048190000000000
Kernel_Size,3,False,5,64,3,3,0.2974,0.1817,0.7905,905.2678850000000,863.8136270000000,95,100,65.27002000000,40.45166000000,65.27002000000,9.052391999999999,0.18618999999999999
,5,False,5,64,5,3,0.3162,0.1881,0.7832,437.2676950000000,352.2746880000000,37,47,65.31884800000,40.52294900000,65.31884800000,9.318692000000000,0.2009790000000000
,11,False,5,64,11,3,0.3211,0.1842,0.7876,514.3621120000000,431.0687530000000,46,56,65.46533200000,40.73681600000,65.46533200000,9.198133000000000,0.20131299999999999
Hidden_Dim,32,False,5,32,7,3,0.3038,0.1673,0.8071,475.39882100000000,393.25748099999998,43,53,42.80517600000,29.88916000000,42.80517600000,8.995977000000000,0.19218900000000000
,128,False,5,128,7,3,0.2821,0.1526,0.8241,678.3989160000000,594.4373230000000,63,73,117.94384800000,64.47998000000,117.94384800000,9.303108999999999,0.18963600000000000
,256,False,5,256,7,3,0.3302,0.1944,0.7759,541.707823000000,455.24403300000000,47,57,217.45556600000,107.83740200000,217.45556600000,9.525109000000000,0.19474600000000000
Baseline,,True,5,64,7,3,0.2949,0.1701,0.8039,860.7946410000000,782.2999260000000,89,99,65.36767600000,40.59423800000,65.36767600000,8.698682000000000,0.1800880000000000
,,,,,,,,,,,,,,,,,,

